driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
ANT,12,73.0,73.651,19.33,34.832,19.489,HARD,2.0,True,3.0,18.0,,,211.0,196.0,262.0,282.0,True
ANT,12,74.0,73.518,19.187,34.864,19.467,HARD,3.0,True,3.0,18.0,,,212.0,197.0,261.0,283.0,True
ANT,12,75.0,74.834,19.39,35.555,19.889,HARD,4.0,True,3.0,18.0,,,207.0,194.0,254.0,283.0,False
ALO,14,1.0,88.332,,38.958,21.505,HARD,2.0,False,1.0,6.0,,,172.0,178.0,256.0,273.0,False
ALO,14,2.0,107.072,36.339,45.88,24.853,HARD,3.0,False,1.0,6.0,,,76.0,171.0,197.0,241.0,True
ALO,14,3.0,109.211,32.549,47.333,29.329,HARD,4.0,False,1.0,6.0,,,121.0,142.0,202.0,255.0,False
ALO,14,4.0,99.675,31.606,46.693,21.376,HARD,5.0,False,1.0,6.0,,,119.0,174.0,263.0,240.0,True
ALO,14,5.0,80.94,21.215,38.446,21.279,HARD,6.0,False,1.0,6.0,,,180.0,179.0,262.0,272.0,True
ALO,14,6.0,80.424,21.36,38.05,21.014,HARD,7.0,False,1.0,6.0,,,184.0,179.0,257.0,278.0,True
ALO,14,7.0,80.222,21.21,37.915,21.097,HARD,8.0,False,1.0,6.0,,,190.0,181.0,256.0,271.0,True
ALO,14,8.0,79.105,20.807,37.418,20.88,HARD,9.0,False,1.0,6.0,,,196.0,184.0,256.0,270.0,True
ALO,14,9.0,82.183,20.318,40.954,20.911,HARD,10.0,False,1.0,6.0,,,202.0,184.0,257.0,272.0,False
ALO,14,10.0,80.167,20.298,39.123,20.746,HARD,11.0,False,1.0,6.0,,,202.0,185.0,257.0,277.0,False
ALO,14,11.0,77.469,20.465,36.583,20.421,HARD,12.0,False,1.0,6.0,,,200.0,187.0,256.0,275.0,True
ALO,14,12.0,77.319,20.378,36.539,20.402,HARD,13.0,False,1.0,6.0,,,201.0,186.0,256.0,276.0,True
ALO,14,13.0,76.411,20.107,36.105,20.199,HARD,14.0,False,1.0,6.0,,,203.0,190.0,255.0,275.0,True
ALO,14,14.0,76.295,20.05,35.994,20.251,HARD,15.0,False,1.0,5.0,,,202.0,191.0,255.0,276.0,True
ALO,14,15.0,75.593,19.849,35.665,20.079,HARD,16.0,False,1.0,5.0,,,205.0,192.0,257.0,274.0,True
ALO,14,16.0,94.168,20.009,35.857,38.302,HARD,17.0,False,1.0,6.0,4709.008,,205.0,191.0,,277.0,False
ALO,14,17.0,80.283,22.958,37.053,20.272,HARD,2.0,False,2.0,7.0,,4734.476,189.0,186.0,256.0,276.0,False
ALO,14,18.0,76.84,20.136,36.258,20.446,HARD,3.0,False,2.0,7.0,,,200.0,189.0,255.0,274.0,False
ALO,14,19.0,77.226,20.33,36.465,20.431,HARD,4.0,False,2.0,6.0,,,196.0,187.0,255.0,276.0,False
ALO,14,20.0,77.267,20.228,36.52,20.519,HARD,5.0,False,2.0,6.0,,,201.0,187.0,255.0,274.0,False
ALO,14,21.0,77.921,20.283,36.918,20.72,HARD,6.0,False,2.0,6.0,,,197.0,183.0,244.0,261.0,False
ALO,14,22.0,78.938,20.88,37.036,21.022,HARD,7.0,False,2.0,6.0,,,196.0,173.0,242.0,261.0,False
ALO,14,23.0,77.947,20.61,36.735,20.602,HARD,8.0,False,2.0,6.0,,,195.0,183.0,242.0,260.0,False
ALO,14,24.0,77.748,20.681,36.586,20.481,HARD,9.0,False,2.0,6.0,,,194.0,184.0,242.0,259.0,False
